trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
215,False,"{'a': 0.5, 'e': 0.11523033871371341}",25,13,26.194583843136794,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.11407803532657627}",20,10,22.145423593180766,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.11293725497331052}",35,23,-0.6806519920459428,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.1118078824235774}",25,7,16.2570696920339,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.11068980359934164}",20,14,11.45416975436189,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.10958290556334822}",25,15,20.462051639531513,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.10848707650771475}",25,10,23.655717977479693,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.1074022057426376}",20,12,14.441593542396589,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10632818368521123}",20,2,-29.752378206866634,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
224,False,"{'a': 0.5, 'e': 0.10526490184835911}",20,0,-21.455740328486595,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
225,False,"{'a': 0.5, 'e': 0.10421225282987552}",25,18,13.742712136631567,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.10317013030157676}",30,0,43.78309346354786,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
227,False,"{'a': 0.5, 'e': 0.10213842899856099}",25,11,-13.912690553401436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
228,False,"{'a': 0.5, 'e': 0.10111704470857538}",20,16,7.937970829685677,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.10010587426148963}",30,13,32.276426959789084,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.09910481551887473}",25,13,23.189624247393596,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.09811376736368599}",25,3,-2.979735088549602,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
232,False,"{'a': 0.5, 'e': 0.09713262969004913}",25,1,-36.31850879423924,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 1}",1
233,False,"{'a': 0.5, 'e': 0.09616130339314863}",20,11,15.299816096299091,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.09519969035921715}",20,6,19.46834841667034,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.09424769345562498}",20,10,16.56333449954338,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.09330521652106873}",20,14,-10.119397565581679,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.09237216435585804}",20,10,20.99087441953617,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.09144844271229946}",30,22,14.51093198541079,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.09053395828517646}",20,5,13.712286832968795,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.08962861870232469}",20,12,19.223460817903028,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08873233251530144}",25,5,26.188449942336643,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.08784500919014843}",20,9,21.524627401569347,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.08696655909824694}",25,19,11.519921703678321,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
